step,observations,abstractions,alive_abstractions,max_depth,mean_lifetime,mean_reuse,merges,splits,destroyed,created,compositions
1,1,0,0,0,0.0,0.0,0,0,0,0,0
10,10,17,11,2,1.3529411764705883,0.8235294117647058,12,5,6,17,0
20,20,24,14,2,3.1666666666666665,2.25,15,9,10,24,0
30,30,27,15,3,4.703703703703703,3.2222222222222223,15,10,12,27,2
40,40,29,17,3,5.482758620689655,4.103448275862069,15,10,12,29,4
50,50,30,18,3,6.6,5.266666666666667,15,10,12,30,5
60,60,32,18,3,8.53125,6.4375,15,10,14,32,7
70,70,32,17,3,10.625,7.65625,15,10,15,32,7
80,80,33,16,3,12.787878787878787,8.636363636363637,15,10,17,33,8
90,90,34,17,3,13.647058823529411,9.617647058823529,15,10,17,34,9
100,100,34,16,3,14.823529411764707,10.529411764705882,15,10,18,34,9
110,110,34,16,3,15.823529411764707,11.529411764705882,15,10,18,34,9
120,120,34,16,3,16.852941176470587,12.558823529411764,15,10,18,34,9
130,130,34,16,3,17.794117647058822,13.5,15,10,18,34,9
140,140,34,16,3,18.676470588235293,14.382352941176471,15,10,18,34,9
150,150,35,17,3,19.114285714285714,14.942857142857143,15,10,18,35,10
160,160,35,17,3,20.428571428571427,16.257142857142856,15,10,18,35,10
170,170,35,17,3,21.4,17.228571428571428,15,10,18,35,10
180,180,35,17,3,22.17142857142857,18.0,15,10,18,35,10
